,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
0,Ford Kuga 2.0 TDCi 4x4 Aut. Individual,10500.0,Ford,Kuga,2015,214 547 km,Diesel,140 CP,1 997 cm3,4x4 (manual),,Automata,SUV,,,
1,Audi Q3 2.0 40 TFSI S tronic quattro S Line,28600.0,Audi,Q3,2021,36 000 km,Benzina,190 CP,1 984 cm3,4x4 (automat),Euro 6,Automata,SUV,,,
2,Toyota Hilux 4x4 Cabina Dubla Comfort,15900.0,Toyota,Hilux,2014,270 000 km,Diesel,144 CP,2 494 cm3,,Euro 5,Manuala,SUV,,,
3,Skoda Octavia Combi Diesel 2.0 TDI DSG Ambition,21652.0,Skoda,Octavia,2020,86 665 km,Diesel,149 CP,1 968 cm3,Fata,,Automata,Combi,,,
4,BMW Seria 4 430d AT M Sport,30800.0,BMW,Seria 4,2016,80 000 km,Diesel,258 CP,2 993 cm3,Spate,Euro 6,Automata,Coupe,Germania,Da,Da
5,BMW Seria 3 320d Touring Aut.,10300.0,BMW,Seria 3,2013,284 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Germania,,
6,Skoda Octavia 1.6 TDI Elegance,5900.0,Skoda,Octavia,2012,278 200 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
7,Chevrolet Corvette,36999.0,Chevrolet,Corvette,2009,67 000 km,Benzina,466 CP,6 162 cm3,,Euro 4,Automata,Coupe,Statele Unite ale Americii,,Da
8,Skoda Octavia 1.9 TDI Business DSG,5600.0,Skoda,Octavia,2010,299 000 km,Diesel,105 CP,1 896 cm3,,,Automata,Sedan,,,
9,Dacia Logan MCV 1.0 SCe Ambiance,6500.0,Dacia,Logan,2018,133 000 km,Benzina,73 CP,998 cm3,Fata,,Manuala,Sedan,,,
11,BMW X5 xDrive40d,31000.0,BMW,X5,2015,143 400 km,Diesel,313 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
12,Audi A5,22390.0,Audi,A5,2017,238 000 km,Diesel,190 CP,1 968 cm3,,,Manuala,Sedan,,,
13,Mitsubishi Colt 1.1 ClearTec Edition,2800.0,Mitsubishi,Colt,2012,126 000 km,Benzina,75 CP,1 124 cm3,Fata,,Manuala,Compacta,,,
14,Jaguar XE 2.0 Prestige,8950.0,Jaguar,XE,2016,240 000 km,Diesel,163 CP,1 999 cm3,,,Manuala,Sedan,,,Da
15,Mercedes-Benz GLE 250 d 4Matic 9G-TRONIC AMG Line,40800.0,Mercedes-Benz,GLE,2016,83 350 km,Diesel,204 CP,2 143 cm3,4x4 (manual),,Automata,SUV,Suedia,,Da
16,BMW Seria 3 320d Aut. xDrive Advantage,19900.0,BMW,Seria 3,2016,70 350 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6b,Automata,Sedan,Romania,Da,Da
17,Skoda Octavia,7450.0,Skoda,Octavia,2014,153 000 km,Benzina,86 CP,1 197 cm3,Fata,,Manuala,Sedan,Romania,,
18,Kia Ceed Cee'd 1.4 GSL CITY,4321.0,Kia,Ceed,2012,200 285 km,Benzina + GPL,100 CP,1 396 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
19,Volkswagen Golf Alltrack 2.0 TDI DSG 4Motion,19900.0,Volkswagen,Golf,2018,113 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Combi,,,
20,Ford Kuga 2.0 TDCi 4x4 Aut. Individual,10500.0,Ford,Kuga,2015,214 547 km,Diesel,140 CP,1 997 cm3,4x4 (manual),,Automata,SUV,,,
21,Toyota Hilux 4x4 Cabina Dubla Comfort,15900.0,Toyota,Hilux,2014,270 000 km,Diesel,144 CP,2 494 cm3,,Euro 5,Manuala,SUV,,,
22,BMW Seria 4 430d AT M Sport,30800.0,BMW,Seria 4,2016,80 000 km,Diesel,258 CP,2 993 cm3,Spate,Euro 6,Automata,Coupe,Germania,Da,Da
23,Skoda Octavia 1.6 TDI Elegance,5900.0,Skoda,Octavia,2012,278 200 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
25,BMW X5 xDrive40d,31000.0,BMW,X5,2015,143 400 km,Diesel,313 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
26,BMW Seria 3 320d DPF Aut. Edition Fleet,6500.0,BMW,Seria 3,2006,277 000 km,Diesel,163 CP,1 995 cm3,,,Automata,Sedan,,,
27,Volkswagen Golf 1.4 TSI Highline,5350.0,Volkswagen,Golf,2010,214 000 km,Benzina,122 CP,1 390 cm3,,,Manuala,Compacta,,,
28,Toyota Land Cruiser,7700.0,Toyota,Land Cruiser,1991,195 000 km,Diesel,90 CP,2 400 cm3,4x4 (manual),,Manuala,SUV,Franta,Da,Da
29,Jaguar XE 2.0 Prestige,8950.0,Jaguar,XE,2016,240 000 km,Diesel,163 CP,1 999 cm3,,,Manuala,Sedan,,,Da
30,Mercedes-Benz GLE 250 d 4Matic 9G-TRONIC AMG Line,40800.0,Mercedes-Benz,GLE,2016,83 350 km,Diesel,204 CP,2 143 cm3,4x4 (manual),,Automata,SUV,Suedia,,Da
31,BMW Seria 3 320d Aut. xDrive Advantage,19900.0,BMW,Seria 3,2016,70 350 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6b,Automata,Sedan,Romania,Da,Da
32,Skoda Octavia,7450.0,Skoda,Octavia,2014,153 000 km,Benzina,86 CP,1 197 cm3,Fata,,Manuala,Sedan,Romania,,
33,Kia Ceed Cee'd 1.4 GSL CITY,4321.0,Kia,Ceed,2012,200 285 km,Benzina + GPL,100 CP,1 396 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
34,Seat Leon 2.0 TDI FR,4850.0,Seat,Leon,2010,272 000 km,Diesel,170 CP,1 968 cm3,Fata,,Manuala,Compacta,,,
35,Volkswagen Golf Alltrack 2.0 TDI DSG 4Motion,19900.0,Volkswagen,Golf,2018,113 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Combi,,,
36,Skoda Octavia Combi Diesel 2.0 TDI DSG Ambition,21652.0,Skoda,Octavia,2020,86 665 km,Diesel,149 CP,1 968 cm3,Fata,,Automata,Combi,,,
37,Dacia Lodgy 1.5 dCi 90 CP Ambiance,9200.0,Dacia,Lodgy,2016,118 820 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,,
38,BMW Seria 3 320d Touring Aut.,10300.0,BMW,Seria 3,2013,284 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Germania,,
39,Honda Civic 1.8 i-VTEC MT Sport,13990.0,Honda,Civic,2015,74 165 km,Benzina,142 CP,1 798 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,Da
40,Chevrolet Corvette,36999.0,Chevrolet,Corvette,2009,67 000 km,Benzina,466 CP,6 162 cm3,,Euro 4,Automata,Coupe,Statele Unite ale Americii,,Da
41,Skoda Fabia 1.2 HTP Active,3300.0,Skoda,Fabia,2008,129 100 km,Benzina,69 CP,1 198 cm3,Fata,,Manuala,Compacta,,,
42,Toyota Yaris 1.5 VVT-i HSD Sol,10800.0,Toyota,Yaris,2016,75 083 km,Hibrid,75 CP,1 497 cm3,,,Automata,Masina de oras,,,
43,BMW Seria 5 530d Gran Turismo,12500.0,BMW,Seria 5,2011,288 000 km,Diesel,245 CP,2 993 cm3,Spate,Euro 5,Automata,Sedan,,,
44,Skoda Octavia 1.9 TDI Business DSG,5600.0,Skoda,Octavia,2010,299 000 km,Diesel,105 CP,1 896 cm3,,,Automata,Sedan,,,
45,BMW X5 xDrive40d,31000.0,BMW,X5,2015,143 400 km,Diesel,313 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
46,Audi A5,22390.0,Audi,A5,2017,238 000 km,Diesel,190 CP,1 968 cm3,,,Manuala,Sedan,,,
47,BMW Seria 7 730d xDrive,54900.0,BMW,Seria 7,2020,191 000 km,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,,
48,Volkswagen Golf 1.4 TSI Highline,5350.0,Volkswagen,Golf,2010,214 000 km,Benzina,122 CP,1 390 cm3,,,Manuala,Compacta,,,
49,Mitsubishi Colt 1.1 ClearTec Edition,2800.0,Mitsubishi,Colt,2012,126 000 km,Benzina,75 CP,1 124 cm3,Fata,,Manuala,Compacta,,,
50,Toyota Land Cruiser,7700.0,Toyota,Land Cruiser,1991,195 000 km,Diesel,90 CP,2 400 cm3,4x4 (manual),,Manuala,SUV,Franta,Da,Da
51,Jaguar XE 2.0 Prestige,8950.0,Jaguar,XE,2016,240 000 km,Diesel,163 CP,1 999 cm3,,,Manuala,Sedan,,,Da
52,Mercedes-Benz GLE 250 d 4Matic 9G-TRONIC AMG Line,40800.0,Mercedes-Benz,GLE,2016,83 350 km,Diesel,204 CP,2 143 cm3,4x4 (manual),,Automata,SUV,Suedia,,Da
53,Skoda Octavia,7450.0,Skoda,Octavia,2014,153 000 km,Benzina,86 CP,1 197 cm3,Fata,,Manuala,Sedan,Romania,,
54,Skoda Octavia,32352.0,Skoda,Octavia,2021,44 849 km,Hibrid,150 CP,1 395 cm3,,,Automata,Combi,,,
55,Skoda Octavia Combi Diesel 2.0 TDI DSG Ambition,21652.0,Skoda,Octavia,2020,86 665 km,Diesel,149 CP,1 968 cm3,Fata,,Automata,Combi,,,
56,Dacia Lodgy 1.5 dCi 90 CP Ambiance,9200.0,Dacia,Lodgy,2016,118 820 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,,
57,BMW Seria 3 320d Touring Aut.,10300.0,BMW,Seria 3,2013,284 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Germania,,
58,Skoda Octavia 1.6 TDI Elegance,5900.0,Skoda,Octavia,2012,278 200 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
61,BMW Seria 3 320d DPF Aut. Edition Fleet,6500.0,BMW,Seria 3,2006,277 000 km,Diesel,163 CP,1 995 cm3,,,Automata,Sedan,,,
62,Audi A5,22390.0,Audi,A5,2017,238 000 km,Diesel,190 CP,1 968 cm3,,,Manuala,Sedan,,,
63,Toyota Land Cruiser,7700.0,Toyota,Land Cruiser,1991,195 000 km,Diesel,90 CP,2 400 cm3,4x4 (manual),,Manuala,SUV,Franta,Da,Da
64,BMW Seria 3 320d Aut. xDrive Advantage,19900.0,BMW,Seria 3,2016,70 350 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6b,Automata,Sedan,Romania,Da,Da
65,Kia Ceed Cee'd 1.4 GSL CITY,4321.0,Kia,Ceed,2012,200 285 km,Benzina + GPL,100 CP,1 396 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
66,Seat Leon 2.0 TDI FR,4850.0,Seat,Leon,2010,272 000 km,Diesel,170 CP,1 968 cm3,Fata,,Manuala,Compacta,,,
67,Volkswagen Golf Alltrack 2.0 TDI DSG 4Motion,19900.0,Volkswagen,Golf,2018,113 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Combi,,,
68,Dacia Lodgy 1.5 dCi 90 CP Ambiance,9200.0,Dacia,Lodgy,2016,118 820 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,,
69,BMW Seria 4 430d AT M Sport,30800.0,BMW,Seria 4,2016,80 000 km,Diesel,258 CP,2 993 cm3,Spate,Euro 6,Automata,Coupe,Germania,Da,Da
70,BMW Seria 3 320d Touring Aut.,10300.0,BMW,Seria 3,2013,284 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Germania,,
71,Honda Civic 1.8 i-VTEC MT Sport,13990.0,Honda,Civic,2015,74 165 km,Benzina,142 CP,1 798 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,Da
73,Chevrolet Corvette,36999.0,Chevrolet,Corvette,2009,67 000 km,Benzina,466 CP,6 162 cm3,,Euro 4,Automata,Coupe,Statele Unite ale Americii,,Da
74,Toyota Yaris 1.5 VVT-i HSD Sol,10800.0,Toyota,Yaris,2016,75 083 km,Hibrid,75 CP,1 497 cm3,,,Automata,Masina de oras,,,
75,BMW Seria 5 530d Gran Turismo,12500.0,BMW,Seria 5,2011,288 000 km,Diesel,245 CP,2 993 cm3,Spate,Euro 5,Automata,Sedan,,,
77,BMW X5 xDrive40d,31000.0,BMW,X5,2015,143 400 km,Diesel,313 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
78,BMW Seria 3 320d DPF Aut. Edition Fleet,6500.0,BMW,Seria 3,2006,277 000 km,Diesel,163 CP,1 995 cm3,,,Automata,Sedan,,,
79,Mercedes-Benz GLA 220 d 4MATIC Aut.,18250.0,Mercedes-Benz,GLA,2014,121 805 km,Diesel,170 CP,2 143 cm3,4x4 (automat),,Automata,SUV,,,Da
80,BMW Seria 7 730d xDrive,54900.0,BMW,Seria 7,2020,191 000 km,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,,
81,Jaguar XE 2.0 Prestige,8950.0,Jaguar,XE,2016,240 000 km,Diesel,163 CP,1 999 cm3,,,Manuala,Sedan,,,Da
82,Mercedes-Benz GLE 250 d 4Matic 9G-TRONIC AMG Line,40800.0,Mercedes-Benz,GLE,2016,83 350 km,Diesel,204 CP,2 143 cm3,4x4 (manual),,Automata,SUV,Suedia,,Da
83,BMW Seria 3 320d Aut. xDrive Advantage,19900.0,BMW,Seria 3,2016,70 350 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6b,Automata,Sedan,Romania,Da,Da
84,Skoda Octavia,7450.0,Skoda,Octavia,2014,153 000 km,Benzina,86 CP,1 197 cm3,Fata,,Manuala,Sedan,Romania,,
85,Kia Ceed Cee'd 1.4 GSL CITY,4321.0,Kia,Ceed,2012,200 285 km,Benzina + GPL,100 CP,1 396 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
86,Volkswagen Golf Alltrack 2.0 TDI DSG 4Motion,19900.0,Volkswagen,Golf,2018,113 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Combi,,,
87,Skoda Octavia,32352.0,Skoda,Octavia,2021,44 849 km,Hibrid,150 CP,1 395 cm3,,,Automata,Combi,,,
88,Skoda Octavia Combi Diesel 2.0 TDI DSG Ambition,21652.0,Skoda,Octavia,2020,86 665 km,Diesel,149 CP,1 968 cm3,Fata,,Automata,Combi,,,
89,Dacia Lodgy 1.5 dCi 90 CP Ambiance,9200.0,Dacia,Lodgy,2016,118 820 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,,
91,Chevrolet Corvette,36999.0,Chevrolet,Corvette,2009,67 000 km,Benzina,466 CP,6 162 cm3,,Euro 4,Automata,Coupe,Statele Unite ale Americii,,Da
92,Skoda Fabia 1.2 HTP Active,3300.0,Skoda,Fabia,2008,129 100 km,Benzina,69 CP,1 198 cm3,Fata,,Manuala,Compacta,,,
93,BMW Seria 5 530d Gran Turismo,12500.0,BMW,Seria 5,2011,288 000 km,Diesel,245 CP,2 993 cm3,Spate,Euro 5,Automata,Sedan,,,
94,Skoda Octavia 1.9 TDI Business DSG,5600.0,Skoda,Octavia,2010,299 000 km,Diesel,105 CP,1 896 cm3,,,Automata,Sedan,,,
96,Mercedes-Benz GLA 220 d 4MATIC Aut.,18250.0,Mercedes-Benz,GLA,2014,121 805 km,Diesel,170 CP,2 143 cm3,4x4 (automat),,Automata,SUV,,,Da
97,BMW Seria 7 730d xDrive,54900.0,BMW,Seria 7,2020,191 000 km,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,,
98,Volkswagen Golf 1.4 TSI Highline,5350.0,Volkswagen,Golf,2010,214 000 km,Benzina,122 CP,1 390 cm3,,,Manuala,Compacta,,,
99,Mitsubishi Colt 1.1 ClearTec Edition,2800.0,Mitsubishi,Colt,2012,126 000 km,Benzina,75 CP,1 124 cm3,Fata,,Manuala,Compacta,,,
100,Toyota Land Cruiser,7700.0,Toyota,Land Cruiser,1991,195 000 km,Diesel,90 CP,2 400 cm3,4x4 (manual),,Manuala,SUV,Franta,Da,Da
101,BMW Seria 3 320d Aut. xDrive Advantage,19900.0,BMW,Seria 3,2016,70 350 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6b,Automata,Sedan,Romania,Da,Da
102,Kia Ceed Cee'd 1.4 GSL CITY,4321.0,Kia,Ceed,2012,200 285 km,Benzina + GPL,100 CP,1 396 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
103,Toyota C-HR 1.2 Turbo 4x2 C-ity,14850.0,Toyota,C-HR,2018,94 000 km,Benzina,116 CP,1 197 cm3,Fata,,Manuala,SUV,,,
104,Skoda Octavia,32352.0,Skoda,Octavia,2021,44 849 km,Hibrid,150 CP,1 395 cm3,,,Automata,Combi,,,
105,Skoda Octavia Combi Diesel 2.0 TDI DSG Ambition,21652.0,Skoda,Octavia,2020,86 665 km,Diesel,149 CP,1 968 cm3,Fata,,Automata,Combi,,,
106,BMW Seria 4 430d AT M Sport,30800.0,BMW,Seria 4,2016,80 000 km,Diesel,258 CP,2 993 cm3,Spate,Euro 6,Automata,Coupe,Germania,Da,Da
107,BMW Seria 3 320d Touring Aut.,10300.0,BMW,Seria 3,2013,284 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Germania,,
108,Skoda Octavia 1.6 TDI Elegance,5900.0,Skoda,Octavia,2012,278 200 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
109,Skoda Fabia 1.2 HTP Active,3300.0,Skoda,Fabia,2008,129 100 km,Benzina,69 CP,1 198 cm3,Fata,,Manuala,Compacta,,,
110,Toyota Yaris 1.5 VVT-i HSD Sol,10800.0,Toyota,Yaris,2016,75 083 km,Hibrid,75 CP,1 497 cm3,,,Automata,Masina de oras,,,
111,BMW Seria 5 530d Gran Turismo,12500.0,BMW,Seria 5,2011,288 000 km,Diesel,245 CP,2 993 cm3,Spate,Euro 5,Automata,Sedan,,,
112,Skoda Octavia 1.9 TDI Business DSG,5600.0,Skoda,Octavia,2010,299 000 km,Diesel,105 CP,1 896 cm3,,,Automata,Sedan,,,
113,Dacia Logan MCV 1.0 SCe Ambiance,6500.0,Dacia,Logan,2018,133 000 km,Benzina,73 CP,998 cm3,Fata,,Manuala,Sedan,,,
115,BMW X5 xDrive40d,31000.0,BMW,X5,2015,143 400 km,Diesel,313 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
116,BMW Seria 3 320d DPF Aut. Edition Fleet,6500.0,BMW,Seria 3,2006,277 000 km,Diesel,163 CP,1 995 cm3,,,Automata,Sedan,,,
117,Audi A5,22390.0,Audi,A5,2017,238 000 km,Diesel,190 CP,1 968 cm3,,,Manuala,Sedan,,,
118,Mitsubishi Colt 1.1 ClearTec Edition,2800.0,Mitsubishi,Colt,2012,126 000 km,Benzina,75 CP,1 124 cm3,Fata,,Manuala,Compacta,,,
119,Toyota Land Cruiser,7700.0,Toyota,Land Cruiser,1991,195 000 km,Diesel,90 CP,2 400 cm3,4x4 (manual),,Manuala,SUV,Franta,Da,Da
120,BMW Seria 3 320d Aut. xDrive Advantage,19900.0,BMW,Seria 3,2016,70 350 km,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6b,Automata,Sedan,Romania,Da,Da
121,Skoda Octavia,7450.0,Skoda,Octavia,2014,153 000 km,Benzina,86 CP,1 197 cm3,Fata,,Manuala,Sedan,Romania,,
122,Kia Ceed Cee'd 1.4 GSL CITY,4321.0,Kia,Ceed,2012,200 285 km,Benzina + GPL,100 CP,1 396 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
123,Skoda Octavia,32352.0,Skoda,Octavia,2021,44 849 km,Hibrid,150 CP,1 395 cm3,,,Automata,Combi,,,
124,Dacia Lodgy 1.5 dCi 90 CP Ambiance,9200.0,Dacia,Lodgy,2016,118 820 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,,
125,BMW Seria 4 430d AT M Sport,30800.0,BMW,Seria 4,2016,80 000 km,Diesel,258 CP,2 993 cm3,Spate,Euro 6,Automata,Coupe,Germania,Da,Da
126,Honda Civic 1.8 i-VTEC MT Sport,13990.0,Honda,Civic,2015,74 165 km,Benzina,142 CP,1 798 cm3,Fata,Euro 6,Manuala,Compacta,Romania,Da,Da
127,Skoda Octavia 1.6 TDI Elegance,5900.0,Skoda,Octavia,2012,278 200 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
129,Chevrolet Corvette,36999.0,Chevrolet,Corvette,2009,67 000 km,Benzina,466 CP,6 162 cm3,,Euro 4,Automata,Coupe,Statele Unite ale Americii,,Da
130,Skoda Octavia 1.9 TDI Business DSG,5600.0,Skoda,Octavia,2010,299 000 km,Diesel,105 CP,1 896 cm3,,,Automata,Sedan,,,
131,Dacia Logan MCV 1.0 SCe Ambiance,6500.0,Dacia,Logan,2018,133 000 km,Benzina,73 CP,998 cm3,Fata,,Manuala,Sedan,,,
132,BMW Seria 3 320d DPF Aut. Edition Fleet,6500.0,BMW,Seria 3,2006,277 000 km,Diesel,163 CP,1 995 cm3,,,Automata,Sedan,,,
133,Audi A5,22390.0,Audi,A5,2017,238 000 km,Diesel,190 CP,1 968 cm3,,,Manuala,Sedan,,,
134,BMW Seria 7 730d xDrive,54900.0,BMW,Seria 7,2020,191 000 km,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,Sedan,Germania,,
135,Volkswagen Golf 1.4 TSI Highline,5350.0,Volkswagen,Golf,2010,214 000 km,Benzina,122 CP,1 390 cm3,,,Manuala,Compacta,,,
136,Volkswagen Golf Alltrack 2.0 TDI DSG 4Motion,19900.0,Volkswagen,Golf,2018,113 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Combi,,,
137,Toyota C-HR 1.2 Turbo 4x2 C-ity,14850.0,Toyota,C-HR,2018,94 000 km,Benzina,116 CP,1 197 cm3,Fata,,Manuala,SUV,,,
138,Skoda Octavia,32352.0,Skoda,Octavia,2021,44 849 km,Hibrid,150 CP,1 395 cm3,,,Automata,Combi,,,
139,Skoda Octavia Combi Diesel 2.0 TDI DSG Ambition,21652.0,Skoda,Octavia,2020,86 665 km,Diesel,149 CP,1 968 cm3,Fata,,Automata,Combi,,,
140,Dacia Lodgy 1.5 dCi 90 CP Ambiance,9200.0,Dacia,Lodgy,2016,118 820 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,,
141,BMW Seria 3 320d Touring Aut.,10300.0,BMW,Seria 3,2013,284 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Germania,,
142,Chevrolet Corvette,36999.0,Chevrolet,Corvette,2009,67 000 km,Benzina,466 CP,6 162 cm3,,Euro 4,Automata,Coupe,Statele Unite ale Americii,,Da
143,Toyota Yaris 1.5 VVT-i HSD Sol,10800.0,Toyota,Yaris,2016,75 083 km,Hibrid,75 CP,1 497 cm3,,,Automata,Masina de oras,,,
144,BMW Seria 5 530d Gran Turismo,12500.0,BMW,Seria 5,2011,288 000 km,Diesel,245 CP,2 993 cm3,Spate,Euro 5,Automata,Sedan,,,
145,Skoda Octavia 1.9 TDI Business DSG,5600.0,Skoda,Octavia,2010,299 000 km,Diesel,105 CP,1 896 cm3,,,Automata,Sedan,,,
146,Dacia Logan MCV 1.0 SCe Ambiance,6500.0,Dacia,Logan,2018,133 000 km,Benzina,73 CP,998 cm3,Fata,,Manuala,Sedan,,,
147,BMW X5 xDrive40d,31000.0,BMW,X5,2015,143 400 km,Diesel,313 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
148,Audi A5,22390.0,Audi,A5,2017,238 000 km,Diesel,190 CP,1 968 cm3,,,Manuala,Sedan,,,
149,Toyota Land Cruiser,7700.0,Toyota,Land Cruiser,1991,195 000 km,Diesel,90 CP,2 400 cm3,4x4 (manual),,Manuala,SUV,Franta,Da,Da
150,Mercedes-Benz GLE 250 d 4Matic 9G-TRONIC AMG Line,40800.0,Mercedes-Benz,GLE,2016,83 350 km,Diesel,204 CP,2 143 cm3,4x4 (manual),,Automata,SUV,Suedia,,Da
151,Kia Ceed Cee'd 1.4 GSL CITY,4321.0,Kia,Ceed,2012,200 285 km,Benzina + GPL,100 CP,1 396 cm3,Fata,Euro 5,Manuala,Combi,Romania,,Da
152,Toyota C-HR 1.2 Turbo 4x2 C-ity,14850.0,Toyota,C-HR,2018,94 000 km,Benzina,116 CP,1 197 cm3,Fata,,Manuala,SUV,,,
153,Skoda Octavia,32352.0,Skoda,Octavia,2021,44 849 km,Hibrid,150 CP,1 395 cm3,,,Automata,Combi,,,
154,Skoda Octavia Combi Diesel 2.0 TDI DSG Ambition,21652.0,Skoda,Octavia,2020,86 665 km,Diesel,149 CP,1 968 cm3,Fata,,Automata,Combi,,,
155,Dacia Lodgy 1.5 dCi 90 CP Ambiance,9200.0,Dacia,Lodgy,2016,118 820 km,Diesel,90 CP,1 461 cm3,Fata,Euro 6,Manuala,Monovolum,Romania,,
156,BMW Seria 4 430d AT M Sport,30800.0,BMW,Seria 4,2016,80 000 km,Diesel,258 CP,2 993 cm3,Spate,Euro 6,Automata,Coupe,Germania,Da,Da
157,BMW Seria 3 320d Touring Aut.,10300.0,BMW,Seria 3,2013,284 000 km,Diesel,184 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Germania,,
158,Skoda Octavia 1.6 TDI Elegance,5900.0,Skoda,Octavia,2012,278 200 km,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Sedan,Romania,,
159,Chevrolet Corvette,36999.0,Chevrolet,Corvette,2009,67 000 km,Benzina,466 CP,6 162 cm3,,Euro 4,Automata,Coupe,Statele Unite ale Americii,,Da
160,Toyota Yaris 1.5 VVT-i HSD Sol,10800.0,Toyota,Yaris,2016,75 083 km,Hibrid,75 CP,1 497 cm3,,,Automata,Masina de oras,,,
161,BMW Seria 5 530d Gran Turismo,12500.0,BMW,Seria 5,2011,288 000 km,Diesel,245 CP,2 993 cm3,Spate,Euro 5,Automata,Sedan,,,
162,Skoda Octavia 1.9 TDI Business DSG,5600.0,Skoda,Octavia,2010,299 000 km,Diesel,105 CP,1 896 cm3,,,Automata,Sedan,,,
163,BMW X5 xDrive40d,31000.0,BMW,X5,2015,143 400 km,Diesel,313 CP,2 993 cm3,4x4 (automat),,Automata,SUV,,,Da
164,BMW Seria 3 320d DPF Aut. Edition Fleet,6500.0,BMW,Seria 3,2006,277 000 km,Diesel,163 CP,1 995 cm3,,,Automata,Sedan,,,
165,Audi A5,22390.0,Audi,A5,2017,238 000 km,Diesel,190 CP,1 968 cm3,,,Manuala,Sedan,,,
166,Mercedes-Benz GLA 220 d 4MATIC Aut.,18250.0,Mercedes-Benz,GLA,2014,121 805 km,Diesel,170 CP,2 143 cm3,4x4 (automat),,Automata,SUV,,,Da
167,Mitsubishi Colt 1.1 ClearTec Edition,2800.0,Mitsubishi,Colt,2012,126 000 km,Benzina,75 CP,1 124 cm3,Fata,,Manuala,Compacta,,,
168,Toyota Land Cruiser,7700.0,Toyota,Land Cruiser,1991,195 000 km,Diesel,90 CP,2 400 cm3,4x4 (manual),,Manuala,SUV,Franta,Da,Da
169,Volkswagen Golf Alltrack 2.0 TDI DSG 4Motion,19900.0,Volkswagen,Golf,2018,113 000 km,Diesel,184 CP,1 968 cm3,,,Automata,Combi,,,
170,Skoda Octavia,32352.0,Skoda,Octavia,2021,44 849 km,Hibrid,150 CP,1 395 cm3,,,Automata,Combi,,,
