,title,price,make,model,year,mileage,fuel_type,engine_power,engine_capacity,transmission,pollution_standard,gearbox,body_type,country_origin,original_owner,no_accident
4639,BMW Seria 3 318d Aut.,13200.0,BMW,Seria 3,2018,144 000 km,Diesel,150 CP,1 995 cm3,Spate,Euro 6,Automata,Combi,Belgia,,
4640,Volkswagen Golf 2.0 TDI DSG R-Line,26000.0,Volkswagen,Golf,2021,55 400 km,Diesel,150 CP,1 968 cm3,Fata,,Automata,Compacta,,,
4641,Dacia Duster,13250.0,Dacia,Duster,2020,27 000 km,Benzina + GPL,101 CP,999 cm3,,,Manuala,SUV,,,
4642,Mercedes-Benz CLA 180 7G-DCT UrbanStyle Edition,18900.0,Mercedes-Benz,CLA,2017,125 000 km,Benzina,122 CP,1 595 cm3,Fata,,Automata,Sedan,,,Da
4643,Mercedes-Benz CLA 200 7G-DCT AMG Line,25900.0,Mercedes-Benz,CLA,2018,97 546 km,Benzina,156 CP,1 595 cm3,Fata,Euro 6,Automata,Sedan,Germania,,
4644,Porsche Cayenne Diesel Platinum Edition,26900.0,Porsche,Cayenne,2014,215 000 km,Diesel,245 CP,2 967 cm3,4x4 (automat),Euro 5,Automata,SUV,Germania,,
4645,Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC,28900.0,Mercedes-Benz,GLC,2018,177 000 km,Diesel,170 CP,2 143 cm3,4x4 (automat),,Automata,SUV,Belgia,Da,Da
4646,BMW Seria 7 750Li,37000.0,BMW,Seria 7,2016,43 250 km,Benzina,450 CP,4 395 cm3,Spate,Euro 6,Automata,Sedan,Germania,,Da
4647,BMW Seria 7 740e iPerformance,40500.0,BMW,Seria 7,2017,134 000 km,Hibrid,258 CP,1 998 cm3,4x4 (automat),Euro 6,Automata,Sedan,Luxemburg,Da,Da
4648,Volkswagen Golf 1.9 TDI Comfortline,4500.0,Volkswagen,Golf,2006,263 000 km,Diesel,105 CP,1 896 cm3,,,Manuala,Compacta,,,
4649,Mercedes-Benz C 300 Coupe 7G-TRONIC AMG Line,28500.0,Mercedes-Benz,C,2017,110 000 km,Benzina,245 CP,1 991 cm3,4x4 (automat),,Automata,Coupe,,,
4651,Hyundai IONIQ Plug-in-Hybrid 1.6 GDI,23690.0,Hyundai,IONIQ,2021,48 566 km,Hibrid,105 CP,1 580 cm3,Fata,Euro 6,Automata,Compacta,Germania,,
4652,BMW Seria 3 320d Touring Aut. Efficient Dynamics Edition,10999.0,BMW,Seria 3,2013,244 000 km,Diesel,163 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,Olanda,Da,Da
